catalog_id,name,method,reported_variants,harmonized_variants,match_rate,prs_raw,mc_mean,mc_sd,ci_lower,ci_upper,prs_sigmoid,lifestyle_base_auc,lifestyle_int_auc,lifestyle_base_brier,lifestyle_int_brier,lifestyle_cal_brier,clinical_base_auc,clinical_int_auc,clinical_base_brier,clinical_int_brier,clinical_cal_brier,reclassified_pct,top_3_genes
PGS002809,GRS_CAD (Baseline),GWAS Significant Hits,206,182,88.3,11.881286,11.901415,0.45611,10.987364,12.757293,0.999993,0.8044,0.8044,0.1793,0.1869,0.1798,0.8838,0.8838,0.1423,0.1549,0.1469,14.5,
PGS000116,CAD_EJ2020 (Khera et al.),lassosum,40079,40079,100.0,27.660096,27.661349,0.13742,27.392497,27.916097,0.497719,0.8044,0.8044,0.1793,0.1812,0.1798,0.8838,0.8838,0.1423,0.1485,0.1469,8.9,"INTERGENIC (97.2%), CDKN2A/B (9p21.3) (1.1%), LPA (0.5%)"
PGS003725,GPS_Mult (Wang et al.),LDpred2,1296172,49997,3.9,8.974426,8.977021,0.079483,8.831368,9.130422,0.999873,0.8044,0.8044,0.1793,0.1869,0.1798,0.8838,0.8838,0.1423,0.1549,0.1469,14.5,INTERGENIC (100.0%)
PGS004696,multi_anc_hg37CSx (Koyama et al.),PRS-CSx,1289980,50000,3.9,7.706284,7.705862,0.053971,7.598665,7.803795,0.99955,0.8044,0.8044,0.1793,0.1869,0.1798,0.8838,0.8838,0.1423,0.1549,0.1469,14.5,"INTERGENIC (98.5%), PCSK9 (1.5%)"
