pathway,variant_count,cumulative_gbi,pct_of_total_gbi,key_genes
Lipid Metabolism,428,0.5547,1.91,"LPA, APOE, SORT1, LDLR, LPL, HMGCR, PCSK9, APOB"
Cell Cycle & 9p21.3,61,0.3188,1.1,"CDKN2B-AS1, CDKN2B, CDKN2A"
Vascular Remodeling,199,0.207,0.71,"PHACTR1, ADAMTS7, TNS1, ARHGEF26, TCF21"
Inflammation & Immune,107,0.0853,0.29,"IL6R, SH2B3, ABO, ZC3HC1, JAK2"
TGF-beta Signaling,16,0.0274,0.09,"SMAD3, TGFB1"
Endothelial & NO Biology,35,0.025,0.09,NOS3
Angiogenesis,30,0.0209,0.07,VEGFA
Pharmacogenomics,14,0.0111,0.04,"SLCO1B1, CYP2C19"
Intergenic / Polygenic Background,39122,26.3785,95.6,Genome-wide background
