Genetic Prior Weight (lambda),Integrated Model,Test AUC,Brier Loss,Standard 10-Bin ECE,Interpretation
0.00,(1-lambda)*P_Fused + lambda*P_PRS,0.8838,0.1423,0.0742,Pure ML Empirical Model
0.05,(1-lambda)*P_Fused + lambda*P_PRS,0.8838,0.144,0.0941,Conservative Genetic Calibration
0.10,(1-lambda)*P_Fused + lambda*P_PRS,0.8838,0.146,0.0813,Balanced Context Layer
0.15,(1-lambda)*P_Fused + lambda*P_PRS,0.8838,0.1485,0.0938,Primary Digital Twin Configuration
0.20,(1-lambda)*P_Fused + lambda*P_PRS,0.8838,0.1513,0.1063,High Prior Sensitivity
