Threshold Probability,Treat All (95% CI),Baseline Clinical Feature Model (95% CI),Exercise-ST-Augmented Clinical Model (95% CI),Clinical Staged Fusion Ensemble (95% CI),Population-Genomics-Aware Digital Twin (95% CI)
10%,"0.4771 [0.4771, 0.4771]","0.4804 [0.4781, 0.4827]","0.4771 [0.4771, 0.4771]","0.4799 [0.4781, 0.4823]","0.4771 [0.4771, 0.4771]"
20%,"0.4118 [0.4118, 0.4118]","0.4317 [0.4160, 0.4454]","0.4485 [0.4275, 0.4654]","0.4391 [0.4212, 0.4527]","0.4296 [0.4223, 0.4380]"
30%,"0.3277 [0.3277, 0.3277]","0.3776 [0.3451, 0.4058]","0.3980 [0.3631, 0.4292]","0.3944 [0.3637, 0.4220]","0.3878 [0.3589, 0.4160]"
40%,"0.2157 [0.2157, 0.2157]","0.3557 [0.3137, 0.3964]","0.3571 [0.3123, 0.3978]","0.3571 [0.3151, 0.3950]","0.3641 [0.3263, 0.4006]"
50%,"0.0588 [0.0588, 0.0588]","0.3025 [0.2478, 0.3529]","0.3403 [0.2899, 0.3867]","0.3361 [0.2857, 0.3824]","0.3361 [0.2857, 0.3824]"
