Threshold Probability,Treat All (95% CI),Pre-Diagnostic Model (95% CI),Diagnostic Model (95% CI),Multimodal Fused Ensemble (95% CI),Full Hybrid Digital Twin (95% CI)
10%,"0.4771 [0.4771, 0.4771]","0.4804 [0.4781, 0.4827]","0.4785 [0.4692, 0.4851]","0.4823 [0.4795, 0.4851]","0.4771 [0.4771, 0.4771]"
20%,"0.4118 [0.4118, 0.4118]","0.4317 [0.4160, 0.4454]","0.4328 [0.4044, 0.4569]","0.4391 [0.4149, 0.4580]","0.4338 [0.4170, 0.4485]"
30%,"0.3277 [0.3277, 0.3277]","0.3776 [0.3451, 0.4058]","0.3962 [0.3625, 0.4292]","0.4046 [0.3751, 0.4352]","0.4088 [0.3818, 0.4358]"
40%,"0.2157 [0.2157, 0.2157]","0.3557 [0.3137, 0.3964]","0.3641 [0.3249, 0.4062]","0.3641 [0.3221, 0.4006]","0.3613 [0.3179, 0.3992]"
50%,"0.0588 [0.0588, 0.0588]","0.3025 [0.2478, 0.3529]","0.3529 [0.3025, 0.4034]","0.3277 [0.2731, 0.3782]","0.3277 [0.2731, 0.3782]"
