Model,CV_Accuracy_mean,CV_Accuracy_std,CV_Precision_mean,CV_Precision_std,CV_Recall_mean,CV_Recall_std,CV_F1_mean,CV_F1_std,CV_AUC_mean,CV_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,Test_Brier,Train_AUC,Gen_Gap,CV_Test_Gap,CV_vs_Test_gap,Overfit_flag
Logistic Regression,0.7772940203912924,0.03424738384623968,0.8022657456922163,0.04794167074938513,0.7714257425742574,0.019309073249991888,0.7859908732842255,0.028663235231467556,0.8476056019085055,0.03327760506318367,0.7689075630252101,0.7886178861788617,0.7698412698412699,0.7791164658634538,0.8533163265306122,0.156848405601783,0.8533918980548778,7.557152426562741e-05,-0.005710724622106644,0.005710724622106644,✅ OK
Random Forest,0.7825020666850373,0.036003772435342536,0.8106812314110199,0.04549370735496591,0.7693069306930693,0.023727366949549907,0.7892858015000872,0.033276832831512004,0.8683869519536224,0.027364989095609308,0.8025210084033614,0.8264462809917356,0.7936507936507936,0.8097165991902834,0.8711026077097506,0.14491436151826062,0.9615359070521192,0.09043329934236866,0.01275880067827928,0.002715655756128199,✅ OK
XGBoost,0.7846293744833288,0.029342890390470673,0.80596616552667,0.0348104375123362,0.7813267326732674,0.024999449067549726,0.7932604330045695,0.027226683429978412,0.8657686629337091,0.029045584910683226,0.8109243697478992,0.824,0.8174603174603174,0.8207171314741036,0.8787556689342404,0.14353467879357237,0.9328815525554911,0.0541258836212507,-0.012987006000531265,0.012987006000531265,✅ OK
Gradient Boosting,0.8004023146872417,0.021153370302813612,0.8101394514094471,0.02268189669596456,0.8131683168316831,0.01767641484022603,0.8115899321128349,0.019054640211599902,0.8790796702142124,0.026852173330661568,0.7899159663865546,0.8064516129032258,0.7936507936507936,0.8,0.8752834467120181,0.14214607882612906,0.9607034851027465,0.08542003839072843,0.003796223502194329,0.003796223502194329,✅ OK
